term,estimate,std.error,statistic,p.value,conf.low,conf.high
"rcs(egfr, 3)egfr",0.9885456229942106,0.0074950639480287715,-1.5370761015412588,0.12427467450919684,0.9741299755942329,1.0031746001296105
"rcs(egfr, 3)egfr'",1.0206134095254336,0.017616607867891262,1.1582155077327414,0.2467761013482536,0.9859751884651212,1.056468503355223
log_uacr,1.12483726275005,0.08916821788647088,1.3192858694258107,0.18707356007108314,0.9444730502830903,1.3396452839938469
age_10,1.8260397387554625,0.13085989254556654,4.6014827993385286,4.194938050199194e-6,1.4129346708324655,2.3599259019877836
sexFemale,0.7031507625990735,0.2500869406362783,-1.408246081237368,0.15905821543361534,0.4306991972411902,1.1479496551436208
race_ethMexican American,0.39491112369623926,0.4853864000390379,-1.9141338583528338,0.05560305427615854,0.1525238341923446,1.022494592040973
race_ethOther Hispanic,0.31044874810593587,0.6050106040467672,-1.9334147961532995,0.053185119976334384,0.09484270960752744,1.0161922365922522
race_ethNon-Hispanic Black,0.530494056575155,0.3238433307318593,-1.95757165354633,0.05028029626138527,0.28120599798881646,1.000775040626111
race_ethNon-Hispanic Asian,1.1414122696083517,0.44523035580406084,0.2970739235353637,0.7664100721671835,0.4769378292816415,2.7316389877791503
race_ethOther/Multiracial,NA,0,NA,NA,NA,NA
poverty_catBelow poverty,2.57731962635141,0.4306777701509256,2.198279131173717,0.027929220619406624,1.10808913954876,5.994622832492687
poverty_catLow income,2.4872756194718795,0.3769690669519651,2.4171425791569714,0.015642888385069553,1.1880843121472715,5.207155707693881
poverty_catMiddle income,1.350709432453504,0.4194869711345827,0.7166610184070067,0.4735832842607869,0.5936001137712698,3.0734764508853583
diabetes,1.7192458249235265,0.26254792135753624,2.0639497657571333,0.03902247953966675,1.027677344665285,2.8762006108830636
hypertension,0.9582331093244472,0.25545778165405636,-0.167010772527949,0.8673615727231008,0.5807980034434835,1.5809467084281177
bmi_catUnderweight,1.7566948653449257,0.6178244607023514,0.9119647439894482,0.3617872771890305,0.5233632184553471,5.896434332999501
bmi_catOverweight,0.30061307919767494,0.30944637384860907,-3.884134356968934,1.0269511056795806e-4,0.16391044945597216,0.5513267987772881
bmi_catObese,0.38045819725822466,0.2841166551324041,-3.401345725136938,6.705496513408556e-4,0.21800497794529533,0.6639685076241716
pa_catSedentary,1.290603833522166,0.2610225418925007,0.9773492933085849,0.32839625719028254,0.7737669225441441,2.1526614883270394
pa_catLow active,0.8137631712712547,0.4996863485370558,-0.4124305182634988,0.6800238983057242,0.30560766310607024,2.166864836395184
smokingCurrent/Former,1.4849568535619613,0.24959219778377567,1.584126909826963,0.11316484176501176,0.9104593728742663,2.4219607405207766
